education,experience,ethnicity,smsa,region,parttime,wage
7,45.0,cauc,yes,northeast,no,354.94
12,1.0,cauc,yes,northeast,yes,123.46
9,9.0,cauc,yes,northeast,no,370.37
11,46.0,cauc,yes,northeast,no,754.94
12,36.0,cauc,yes,northeast,no,593.54
16,22.0,cauc,yes,northeast,no,377.23
8,51.0,cauc,yes,northeast,no,284.9
12,34.0,cauc,yes,northeast,no,561.13
12,0.0,cauc,yes,northeast,no,264.06
14,18.0,cauc,yes,northeast,no,1643.83
12,17.0,cauc,yes,northeast,no,474.83
8,42.0,cauc,yes,northeast,no,299.15
10,10.0,cauc,yes,northeast,no,244.88
14,19.0,cauc,no,northeast,no,474.83
12,40.0,cauc,no,northeast,no,213.68
16,42.0,cauc,no,northeast,no,864.2
14,27.0,cauc,no,northeast,no,841.93
16,-1.0,cauc,no,northeast,no,301.96
12,17.0,cauc,no,northeast,no,669.28
12,42.0,cauc,no,northeast,no,403.61
12,25.0,cauc,no,northeast,no,403.61
12,15.0,cauc,no,northeast,no,476.54
16,26.0,cauc,no,northeast,no,536.56
11,4.0,cauc,yes,northeast,no,1018.52
13,17.0,cauc,yes,northeast,no,339.21
12,16.0,cauc,yes,northeast,no,546.06
14,4.0,cauc,yes,northeast,no,251.95
16,20.0,cauc,yes,northeast,no,522.32
12,6.0,cauc,yes,northeast,no,204.18
10,35.0,cauc,yes,northeast,no,1419.75
10,4.0,cauc,yes,northeast,no,208.5
16,10.0,cauc,no,northeast,no,1283.53
13,22.0,cauc,no,northeast,no,586.42
12,20.0,cauc,no,northeast,no,750.24
12,36.0,cauc,yes,northeast,no,370.37
12,10.0,cauc,yes,northeast,no,510.45
12,10.0,cauc,no,northeast,no,343.21
12,51.0,cauc,no,northeast,yes,166.67
12,12.0,cauc,no,northeast,no,795.35
12,17.0,cauc,no,northeast,no,338.48
11,41.0,cauc,no,northeast,yes,222.93
18,14.0,cauc,yes,northeast,no,997.15
11,40.0,cauc,yes,northeast,yes,277.78
12,38.0,cauc,yes,northeast,no,593.54
16,6.0,cauc,yes,northeast,no,420.23
6,47.0,cauc,no,northeast,no,427.35
12,26.0,cauc,no,northeast,no,522.32
12,3.0,cauc,no,northeast,no,296.3
18,12.0,cauc,no,northeast,no,783.48
6,41.0,cauc,no,northeast,no,427.35
12,18.0,cauc,yes,northeast,no,712.25
12,32.0,cauc,no,northeast,no,641.03
13,28.0,cauc,yes,northeast,no,759.73
12,18.0,cauc,yes,northeast,no,594.52
16,2.0,cauc,yes,northeast,yes,284.9
15,18.0,cauc,yes,northeast,no,771.6
17,14.0,cauc,yes,northeast,no,1851.85
14,9.0,cauc,yes,northeast,no,1009.02
18,13.0,cauc,yes,northeast,no,1210.83
14,29.0,cauc,yes,northeast,no,752.54
16,20.0,cauc,yes,northeast,no,246.91
18,26.0,cauc,yes,northeast,no,835.71
14,23.0,cauc,yes,northeast,no,1182.34
12,1.0,cauc,yes,northeast,yes,109.04
11,3.0,cauc,yes,northeast,yes,123.46
18,12.0,cauc,yes,northeast,no,1028.02
18,5.0,cauc,yes,northeast,no,688.51
16,14.0,cauc,yes,northeast,no,688.51
12,1.0,cauc,yes,northeast,no,358.02
13,16.0,cauc,yes,northeast,no,368.0
11,1.0,cauc,yes,northeast,no,197.53
12,8.0,cauc,no,northeast,no,379.87
17,7.0,cauc,no,northeast,no,432.1
15,4.0,cauc,no,northeast,no,403.61
16,0.0,cauc,no,northeast,yes,53.31
12,28.0,cauc,no,northeast,no,189.93
12,2.0,cauc,no,northeast,no,332.38
12,22.0,cauc,yes,northeast,no,474.83
11,2.0,cauc,yes,northeast,no,275.81
14,10.0,cauc,yes,northeast,no,522.32
12,46.0,cauc,no,northeast,yes,61.73
12,47.0,cauc,no,northeast,no,356.13
12,24.0,cauc,no,northeast,no,546.06
12,41.0,cauc,no,northeast,no,444.06
8,36.0,cauc,yes,northeast,no,569.8
12,26.0,cauc,no,northeast,no,555.56
12,11.0,cauc,no,northeast,no,308.64
16,18.0,cauc,no,northeast,no,474.83
12,7.0,cauc,no,northeast,no,237.42
12,4.0,cauc,no,northeast,no,302.59
12,2.0,cauc,no,northeast,no,262.3
8,40.0,cauc,no,northeast,no,430.03
12,43.0,cauc,no,northeast,no,441.26
9,43.0,cauc,no,northeast,no,261.16
12,11.0,cauc,no,northeast,no,237.42
12,19.0,cauc,no,northeast,no,1610.31
16,14.0,cauc,no,northeast,no,1047.01
17,17.0,cauc,no,northeast,no,949.67
18,17.0,cauc,no,northeast,no,1020.89
18,16.0,cauc,no,northeast,no,688.51
14,19.0,cauc,yes,northeast,yes,133.14
16,6.0,cauc,yes,northeast,no,664.77
12,13.0,cauc,yes,northeast,no,759.73
12,16.0,cauc,yes,northeast,no,641.03
10,12.0,cauc,yes,northeast,no,379.87
10,18.0,cauc,yes,northeast,no,246.91
12,11.0,cauc,yes,northeast,yes,339.51
12,15.0,cauc,yes,northeast,no,496.51
8,33.0,cauc,no,northeast,no,651.11
12,44.0,cauc,no,northeast,no,352.73
12,39.0,cauc,no,northeast,no,712.25
12,19.0,cauc,no,northeast,no,493.83
12,45.0,cauc,yes,northeast,yes,74.07
14,46.0,cauc,no,northeast,no,474.83
18,16.0,cauc,yes,northeast,no,878.44
16,29.0,cauc,yes,northeast,no,1025.64
14,4.0,cauc,yes,northeast,no,356.13
10,8.0,cauc,yes,northeast,no,197.53
13,27.0,cauc,no,northeast,no,641.03
12,15.0,cauc,no,northeast,no,284.9
12,6.0,cauc,no,northeast,no,493.83
