col_1,col_2,col_3,col_4,col_5,col_6
BUF__MIA,-1,0,0,1,89
CHI__CIN,0,0,1,1,89
CLE__PIT,1,0,0,1,89
MIN__HOU,1,0,1,1,89
DEN__KC,1,0,1,1,89
LAN__ATL,1,0,0,1,89
NYJ__NE,-1,0,1,1,89
PHX__DET,1,0,0,1,89
LAA__SD,1,0,1,1,89
PHA__SEA,1,0,1,1,89
WAS__NYG,-1,2,1,1,89
ATL__DAL,1,0,1,2,89
NYG__DET,-1,0,1,2,89
HOU__SD,1,0,0,2,89
LAN__IND,1,0,1,2,89
CHI__MIN,1,0,1,2,89
CLE__NYJ,1,0,1,2,89
WAS__PHA,-1,0,1,2,89
SEA__PHX,-1,0,1,2,89
CIN__PIT,1,0,1,2,89
BUF__DEN,-1,2,1,2,89
IND__ATL,-1,0,1,3,89
HOU__BUF,-1,0,1,3,89
CHI__DET,1,0,0,3,89
LAN__GB,-1,0,1,3,89
DEN__LAA,1,0,1,3,89
MIN__PIT,-1,0,0,3,89
MIA__NYJ,-1,0,1,3,89
NYG__PHX,1,0,1,3,89
PHA__SF,-1,0,1,3,89
WAS__DAL,1,0,0,3,89
CIN__CLE,1,2,1,3,89
CIN__KC,-1,0,0,4,89
CLE__DEN,-1,0,1,4,89
NYJ__IND,-1,0,1,4,89
HOU__MIA,1,0,1,4,89
BUF__NE,1,0,1,4,89
NYG__DAL,1,0,0,4,89
DET__PIT,-1,0,1,4,89
PHX__SD,-1,0,1,4,89
LAA__SEA,-1,0,1,4,89
MIN__TB,1,0,1,4,89
WAS__NO,1,0,0,4,89
CHI__PHA,1,2,1,4,89
LAN__ATL,1,0,1,5,89
BUF__IND,-1,0,0,5,89
CHI__TB,-1,0,0,5,89
CIN__PIT,1,0,0,5,89
CLE__MIA,-1,0,0,5,89
MIN__DET,-1,0,1,5,89
HOU__NE,-1,0,0,5,89
SEA__KC,-1,0,1,5,89
PHA__NYG,-1,0,1,5,89
WAS__PHX,-1,0,1,5,89
DEN__SD,-1,0,1,5,89
NYJ__LAA,-1,2,1,5,89
MIN__GB,1,0,1,6,89
CHI__HOU,-1,0,1,6,89
DEN__IND,1,0,1,6,89
LAA__KC,1,0,1,6,89
CIN__MIA,-1,0,1,6,89
ATL__NE,-1,0,1,6,89
PHA__PHX,1,0,0,6,89
CLE__PIT,-1,0,1,6,89
NYG__WAS,0,0,1,6,89
LAN__BUF,-1,2,0,6,89
PHX__ATL,1,0,1,7,89
SEA__DEN,-1,0,1,7,89
MIA__GB,0,0,1,7,89
CIN__IND,-1,0,1,7,89
PHA__LAA,-1,0,1,7,89
MIN__DET,1,0,0,7,89
LAN__NO,-1,0,1,7,89
NYG__SD,1,0,0,7,89
BUF__NYJ,1,0,1,7,89
HOU__PIT,1,0,1,7,89
WAS__TB,-1,0,1,7,89
CLE__CHI,1,2,1,7,89
CLE__HOU,1,0,1,8,89
PIT__KC,1,0,1,8,89
CHI__LAN,1,0,1,8,89
BUF__MIA,1,0,1,8,89
IND__NE,-1,0,1,8,89
DEN__PHA,-1,0,1,8,89
PHX__DAL,1,0,0,8,89
SEA__SD,-1,0,1,8,89
CIN__TB,1,0,1,8,89
WAS__LAA,-1,0,0,8,89
NYG__MIN,1,2,1,8,89
BUF__ATL,-1,0,0,9,89
CHI__GB,-1,0,0,9,89
CIN__LAA,-1,0,0,9,89
CLE__TB,1,0,0,9,89
HOU__DET,-1,0,1,9,89
MIA__IND,1,0,1,9,89
MIN__LAN,-1,0,1,9,89
NYG__PHX,1,0,0,9,89
PHA__SD,-1,0,0,9,89
DEN__PIT,1,0,1,9,89
WAS__DAL,-1,1,1,9,89
CHI__PIT,1,0,0,10,89
CLE__SEA,1,0,0,10,89
PHX__DAL,-1,0,1,10,89
BUF__IND,1,0,1,10,89
MIA__NYJ,1,0,0,10,89
MIN__TB,1,0,0,10,89
LAN__NYG,1,0,1,10,89
PHA__WAS,-1,0,1,10,89
LAA__SD,-1,1,0,10,89
HOU__CIN,-1,2,1,10,89
BUF__NE,-1,0,0,11,89
CIN__DET,1,0,1,11,89
CLE__KC,-1,0,1,11,89
HOU__LAA,1,0,1,11,89
MIA__DAL,-1,0,0,11,89
MIN__PHA,-1,0,0,11,89
LAN__PHX,1,0,1,11,89
PIT__SD,1,0,1,11,89
NYG__SEA,1,0,1,11,89
CHI__TB,-1,0,1,11,89
IND__NYJ,1,1,1,11,89
WAS__DEN,-1,2,1,11,89
CLE__DET,-1,3,0,12,89
PHA__DAL,1,3,0,12,89
NYJ__ATL,1,0,1,12,89
CHI__WAS,-1,0,0,12,89
