Team,League,Year,RA,W,OBP,SLG,BA,Playoffs,RankSeason,RankPlayoffs,G,OOBP,OSLG,RS
ARI,NL,2012,688,81,0.32799999999999996,0.418,0.259,0,,,162,0.317,0.415,734
ATL,NL,2012,600,94,0.32,0.389,0.247,1,4,5,162,0.306,0.37799999999999995,700
BAL,AL,2012,705,93,0.311,0.41700000000000004,0.247,1,5,4,162,0.315,0.40299999999999997,712
BOS,AL,2012,806,69,0.315,0.415,0.26,0,,,162,0.331,0.428,734
CHC,NL,2012,759,61,0.302,0.37799999999999995,0.24,0,,,162,0.335,0.424,613
CHW,AL,2012,676,85,0.318,0.42200000000000004,0.255,0,,,162,0.319,0.405,748
CIN,NL,2012,588,97,0.315,0.41100000000000003,0.251,1,2,4,162,0.305,0.39,669
CLE,AL,2012,845,68,0.324,0.381,0.251,0,,,162,0.336,0.43,667
COL,NL,2012,890,64,0.33,0.436,0.27399999999999997,0,,,162,0.35700000000000004,0.47,758
DET,AL,2012,670,88,0.335,0.42200000000000004,0.268,1,6,2,162,0.314,0.402,726
HOU,NL,2012,794,55,0.302,0.371,0.23600000000000002,0,,,162,0.337,0.42700000000000005,583
KCR,AL,2012,746,72,0.317,0.4,0.265,0,,,162,0.33899999999999997,0.423,676
LAA,AL,2012,699,89,0.332,0.433,0.27399999999999997,0,,,162,0.31,0.40299999999999997,767
LAD,NL,2012,597,86,0.317,0.374,0.252,0,,,162,0.31,0.364,637
MIA,NL,2012,724,69,0.308,0.382,0.244,0,,,162,0.327,0.39899999999999997,609
MIL,NL,2012,733,83,0.325,0.43700000000000006,0.259,0,,,162,0.326,0.414,776
MIN,AL,2012,832,66,0.325,0.39,0.26,0,,,162,0.33299999999999996,0.442,701
NYM,NL,2012,709,74,0.316,0.386,0.249,0,,,162,0.315,0.401,650
NYY,AL,2012,668,95,0.337,0.45299999999999996,0.265,1,3,3,162,0.311,0.419,804
OAK,AL,2012,614,94,0.31,0.40399999999999997,0.23800000000000002,1,4,4,162,0.306,0.37799999999999995,713
PHI,NL,2012,680,81,0.317,0.4,0.255,0,,,162,0.306,0.40700000000000003,684
PIT,NL,2012,674,79,0.304,0.395,0.243,0,,,162,0.314,0.39,651
SDP,NL,2012,710,76,0.319,0.38,0.247,0,,,162,0.319,0.39799999999999996,651
SEA,AL,2012,651,75,0.29600000000000004,0.369,0.23399999999999999,0,,,162,0.308,0.39399999999999996,619
SFG,NL,2012,649,94,0.327,0.397,0.26899999999999996,1,4,1,162,0.313,0.39299999999999996,718
STL,NL,2012,648,88,0.33799999999999997,0.42100000000000004,0.271,1,6,3,162,0.313,0.387,765
TBR,AL,2012,577,90,0.317,0.39399999999999996,0.24,0,,,162,0.294,0.35200000000000004,697
TEX,AL,2012,707,93,0.33399999999999996,0.446,0.273,1,5,5,162,0.309,0.408,808
TOR,AL,2012,784,73,0.309,0.40700000000000003,0.245,0,,,162,0.335,0.43799999999999994,716
WSN,NL,2012,594,98,0.322,0.428,0.261,1,1,4,162,0.303,0.373,731
ARI,NL,2011,662,94,0.322,0.413,0.25,1,5,4,162,0.316,0.409,731
ATL,NL,2011,605,89,0.308,0.387,0.243,0,,,162,0.31,0.361,641
BAL,AL,2011,860,69,0.316,0.413,0.257,0,,,162,0.341,0.46,708
BOS,AL,2011,737,90,0.349,0.461,0.28,0,,,162,0.322,0.392,875
CHC,NL,2011,756,71,0.314,0.401,0.256,0,,,162,0.335,0.413,654
CHW,AL,2011,706,79,0.319,0.38799999999999996,0.252,0,,,162,0.317,0.397,654
CIN,NL,2011,720,79,0.326,0.408,0.256,0,,,162,0.325,0.415,735
CLE,AL,2011,760,80,0.317,0.396,0.25,0,,,162,0.32299999999999995,0.413,704
COL,NL,2011,774,73,0.32899999999999996,0.41,0.258,0,,,162,0.331,0.431,735
DET,AL,2011,711,95,0.34,0.434,0.27699999999999997,1,4,3,162,0.321,0.396,787
FLA,NL,2011,702,72,0.318,0.38799999999999996,0.247,0,,,162,0.316,0.401,625
HOU,NL,2011,796,56,0.311,0.374,0.258,0,,,162,0.337,0.43200000000000005,615
KCR,AL,2011,762,71,0.32899999999999996,0.415,0.275,0,,,162,0.337,0.425,730
LAA,AL,2011,633,86,0.313,0.402,0.253,0,,,162,0.313,0.38799999999999996,667
LAD,NL,2011,612,82,0.322,0.375,0.257,0,,,161,0.31,0.371,644
MIL,NL,2011,638,96,0.325,0.425,0.261,1,3,3,162,0.304,0.385,721
MIN,AL,2011,804,63,0.306,0.36,0.247,0,,,162,0.34,0.435,619
NYM,NL,2011,742,77,0.335,0.391,0.264,0,,,162,0.332,0.41100000000000003,718
NYY,AL,2011,657,97,0.34299999999999997,0.444,0.263,1,2,4,162,0.322,0.39899999999999997,867
OAK,AL,2011,679,74,0.311,0.369,0.244,0,,,162,0.317,0.37799999999999995,645
PHI,NL,2011,529,102,0.32299999999999995,0.395,0.253,1,1,4,162,0.29600000000000004,0.361,713
PIT,NL,2011,712,72,0.309,0.368,0.244,0,,,162,0.33799999999999997,0.409,610
SDP,NL,2011,611,71,0.305,0.349,0.237,0,,,162,0.314,0.375,593
SEA,AL,2011,675,67,0.292,0.348,0.233,0,,,162,0.31,0.386,556
SFG,NL,2011,578,86,0.303,0.368,0.242,0,,,162,0.309,0.34600000000000003,570
STL,NL,2011,692,90,0.341,0.425,0.273,1,7,1,162,0.319,0.39799999999999996,762
TBR,AL,2011,614,91,0.322,0.402,0.244,1,6,4,162,0.303,0.38299999999999995,707
TEX,AL,2011,677,96,0.34,0.46,0.28300000000000003,1,3,2,162,0.307,0.392,855
TOR,AL,2011,761,81,0.317,0.413,0.249,0,,,162,0.32799999999999996,0.419,743
WSN,NL,2011,643,80,0.309,0.38299999999999995,0.242,0,,,161,0.319,0.382,624
ARI,NL,2010,836,65,0.325,0.41600000000000004,0.25,0,,,162,0.34,0.44799999999999995,713
ATL,NL,2010,629,91,0.33899999999999997,0.401,0.258,1,6,4,162,0.314,0.376,738
BAL,AL,2010,785,66,0.316,0.386,0.259,0,,,162,0.336,0.434,613
BOS,AL,2010,744,89,0.33899999999999997,0.451,0.268,0,,,162,0.327,0.39899999999999997,818
CHC,NL,2010,767,75,0.32,0.401,0.257,0,,,162,0.33399999999999996,0.39799999999999996,685
CHW,AL,2010,704,88,0.332,0.42,0.268,0,,,162,0.325,0.395,752
CIN,NL,2010,685,91,0.33799999999999997,0.436,0.272,1,6,4,162,0.32299999999999995,0.396,790
CLE,AL,2010,752,69,0.322,0.37799999999999995,0.248,0,,,162,0.342,0.41600000000000004,646
COL,NL,2010,717,83,0.336,0.425,0.263,0,,,162,0.326,0.397,770
DET,AL,2010,743,81,0.335,0.415,0.268,0,,,162,0.332,0.4,751
FLA,NL,2010,717,80,0.321,0.40299999999999997,0.254,0,,,162,0.331,0.39799999999999996,719
HOU,NL,2010,729,76,0.303,0.36200000000000004,0.247,0,,,162,0.33,0.402,611
KCR,AL,2010,845,67,0.331,0.39899999999999997,0.27399999999999997,0,,,162,0.342,0.435,676
LAA,AL,2010,702,80,0.311,0.39,0.248,0,,,162,0.327,0.40299999999999997,681
LAD,NL,2010,692,80,0.322,0.379,0.252,0,,,162,0.316,0.37799999999999995,667
MIL,NL,2010,804,77,0.335,0.424,0.262,0,,,162,0.33799999999999997,0.42700000000000005,750
MIN,AL,2010,671,94,0.341,0.42200000000000004,0.273,1,4,4,162,0.317,0.41700000000000004,781
NYM,NL,2010,652,79,0.314,0.38299999999999995,0.249,0,,,162,0.33,0.39399999999999996,656
NYY,AL,2010,693,95,0.35,0.436,0.267,1,3,3,162,0.322,0.39899999999999997,859
OAK,AL,2010,626,81,0.324,0.37799999999999995,0.256,0,,,162,0.313,0.379,663
PHI,NL,2010,640,97,0.332,0.413,0.26,1,1,3,162,0.311,0.405,772
PIT,NL,2010,866,57,0.304,0.373,0.242,0,,,162,0.348,0.449,587
SDP,NL,2010,581,90,0.317,0.371,0.24600000000000002,0,,,162,0.308,0.368,665
SEA,AL,2010,698,61,0.298,0.33899999999999997,0.23600000000000002,0,,,162,0.313,0.401,513
SFG,NL,2010,583,92,0.321,0.408,0.257,1,5,1,162,0.313,0.37,697
STL,NL,2010,641,86,0.332,0.402,0.263,0,,,162,0.319,0.387,736
TBR,AL,2010,649,96,0.33299999999999996,0.40299999999999997,0.247,1,2,4,162,0.308,0.40399999999999997,802
TEX,AL,2010,687,90,0.33799999999999997,0.419,0.276,1,7,2,162,0.319,0.39,787
TOR,AL,2010,728,85,0.312,0.45399999999999996,0.248,0,,,162,0.326,0.405,755
WSN,NL,2010,742,69,0.318,0.39,0.25,0,,,162,0.33,0.41,655
ARI,NL,2009,782,70,0.324,0.418,0.253,0,,,162,0.33,0.419,720
ATL,NL,2009,641,86,0.33899999999999997,0.405,0.263,0,,,162,0.32299999999999995,0.39,735
BAL,AL,2009,876,64,0.332,0.415,0.268,0,,,162,0.353,0.47600000000000003,741
BOS,AL,2009,736,95,0.35200000000000004,0.45399999999999996,0.27,1,3,4,162,0.335,0.42200000000000004,872
CHC,NL,2009,672,83,0.332,0.40700000000000003,0.255,0,,,161,0.324,0.391,707
CHW,AL,2009,732,79,0.32899999999999996,0.41100000000000003,0.258,0,,,162,0.325,0.414,724
CIN,NL,2009,723,78,0.318,0.39399999999999996,0.247,0,,,162,0.33299999999999996,0.418,673
CLE,AL,2009,865,65,0.33899999999999997,0.41700000000000004,0.264,0,,,162,0.35100000000000003,0.44299999999999995,773
COL,NL,2009,715,92,0.34299999999999997,0.441,0.261,1,5,4,162,0.32799999999999996,0.405,804
DET,AL,2009,745,86,0.331,0.41600000000000004,0.26,0,,,163,0.336,0.42200000000000004,743
FLA,NL,2009,766,87,0.34,0.41600000000000004,0.268,0,,,162,0.33299999999999996,0.408,772
HOU,NL,2009,770,74,0.319,0.4,0.26,0,,,162,0.344,0.44,643
KCR,AL,2009,842,65,0.318,0.405,0.259,0,,,162,0.34299999999999997,0.42200000000000004,686
LAA,AL,2009,761,97,0.35,0.441,0.285,1,2,3,162,0.33799999999999997,0.43200000000000005,883
LAD,NL,2009,611,95,0.34600000000000003,0.41200000000000003,0.27,1,3,3,162,0.312,0.361,780
MIL,NL,2009,818,80,0.341,0.426,0.263,0,,,162,0.345,0.45,785
MIN,AL,2009,765,87,0.345,0.429,0.27399999999999997,1,7,4,163,0.331,0.431,817
NYM,NL,2009,757,70,0.335,0.39399999999999996,0.27,0,,,162,0.342,0.418,671
NYY,AL,2009,753,103,0.36200000000000004,0.478,0.28300000000000003,1,1,1,162,0.327,0.408,915
OAK,AL,2009,761,75,0.32799999999999996,0.397,0.262,0,,,162,0.32899999999999996,0.413,759
PHI,NL,2009,709,93,0.33399999999999996,0.447,0.258,1,4,2,162,0.32899999999999996,0.42700000000000005,820
PIT,NL,2009,768,62,0.318,0.387,0.252,0,,,161,0.34600000000000003,0.442,636
SDP,NL,2009,769,75,0.321,0.381,0.242,0,,,162,0.33299999999999996,0.406,638
SEA,AL,2009,692,85,0.314,0.402,0.258,0,,,162,0.316,0.39399999999999996,640
SFG,NL,2009,611,88,0.309,0.389,0.257,0,,,162,0.314,0.37200000000000005,657
STL,NL,2009,640,91,0.332,0.415,0.263,1,6,4,162,0.319,0.386,730
TBR,AL,2009,754,84,0.34299999999999997,0.439,0.263,0,,,162,0.324,0.41700000000000004,803
TEX,AL,2009,740,87,0.32,0.445,0.26,0,,,162,0.331,0.41600000000000004,784
TOR,AL,2009,771,75,0.33299999999999996,0.44,0.266,0,,,162,0.33899999999999997,0.434,798
WSN,NL,2009,874,59,0.337,0.406,0.258,0,,,162,0.35200000000000004,0.45,710
ARI,NL,2008,706,82,0.327,0.415,0.251,0,,,162,0.318,0.39799999999999996,720
ATL,NL,2008,778,72,0.345,0.408,0.27,0,,,162,0.336,0.423,753
BAL,AL,2008,869,68,0.33299999999999996,0.429,0.267,0,,,161,0.361,0.435,782
BOS,AL,2008,694,95,0.358,0.447,0.28,1,3,3,162,0.32299999999999995,0.39,845
CHC,NL,2008,671,97,0.354,0.44299999999999995,0.278,1,2,4,161,0.316,0.395,855
CHW,AL,2008,729,89,0.332,0.44799999999999995,0.263,1,6,4,163,0.32,0.41,811
CIN,NL,2008,800,74,0.321,0.408,0.247,0,,,162,0.345,0.45,704
CLE,AL,2008,761,81,0.33899999999999997,0.424,0.262,0,,,162,0.33,0.424,805
COL,NL,2008,822,74,0.336,0.415,0.263,0,,,162,0.344,0.431,747
DET,AL,2008,857,74,0.34,0.444,0.271,0,,,162,0.353,0.43700000000000006,821
FLA,NL,2008,767,84,0.326,0.433,0.254,0,,,161,0.33299999999999996,0.40700000000000003,770
HOU,NL,2008,743,86,0.32299999999999995,0.415,0.263,0,,,161,0.32799999999999996,0.44,712
KCR,AL,2008,781,75,0.32,0.397,0.26899999999999996,0,,,162,0.32799999999999996,0.415,691
LAA,AL,2008,697,100,0.33,0.413,0.268,1,1,4,162,0.32299999999999995,0.406,765
LAD,NL,2008,648,84,0.33299999999999996,0.39899999999999997,0.264,1,7,3,162,0.315,0.376,700
MIL,NL,2008,689,90,0.325,0.431,0.253,1,5,4,162,0.32299999999999995,0.406,750
MIN,AL,2008,745,88,0.34,0.408,0.27899999999999997,0,,,163,0.324,0.431,829
NYM,NL,2008,715,89,0.34,0.42,0.266,0,,,162,0.331,0.397,799
NYY,AL,2008,727,89,0.342,0.42700000000000005,0.271,0,,,162,0.32899999999999996,0.405,789
OAK,AL,2008,690,75,0.318,0.369,0.242,0,,,161,0.32799999999999996,0.392,646
PHI,NL,2008,680,92,0.332,0.43799999999999994,0.255,1,4,1,162,0.32899999999999996,0.41,799
PIT,NL,2008,884,67,0.32,0.40299999999999997,0.258,0,,,162,0.36200000000000004,0.45399999999999996,735
SDP,NL,2008,764,63,0.317,0.39,0.25,0,,,162,0.332,0.409,637
SEA,AL,2008,811,61,0.318,0.389,0.265,0,,,162,0.35100000000000003,0.433,671
SFG,NL,2008,759,72,0.321,0.382,0.262,0,,,162,0.341,0.40399999999999997,640
STL,NL,2008,725,86,0.35,0.433,0.281,0,,,162,0.332,0.431,779
TBR,AL,2008,671,97,0.34,0.42200000000000004,0.26,1,2,2,162,0.314,0.4,774
TEX,AL,2008,967,79,0.354,0.462,0.28300000000000003,0,,,162,0.36200000000000004,0.455,901
TOR,AL,2008,610,86,0.331,0.39899999999999997,0.264,0,,,162,0.309,0.38,714
WSN,NL,2008,825,59,0.32299999999999995,0.373,0.251,0,,,161,0.34299999999999997,0.436,641
ARI,NL,2007,732,90,0.321,0.413,0.25,1,3,3,162,0.33399999999999996,0.42,712
ATL,NL,2007,733,84,0.33899999999999997,0.435,0.275,0,,,162,0.327,0.415,810
BAL,AL,2007,868,69,0.33299999999999996,0.41200000000000003,0.272,0,,,162,0.354,0.41200000000000003,756
BOS,AL,2007,657,96,0.36200000000000004,0.444,0.27899999999999997,1,1,1,162,0.314,0.392,867
CHC,NL,2007,690,85,0.33299999999999996,0.42200000000000004,0.271,1,5,4,162,0.322,0.39899999999999997,752
CHW,AL,2007,839,72,0.318,0.40399999999999997,0.24600000000000002,0,,,162,0.33799999999999997,0.435,693
CIN,NL,2007,853,72,0.335,0.436,0.267,0,,,162,0.34299999999999997,0.456,783
CLE,AL,2007,704,96,0.34299999999999997,0.428,0.268,1,1,3,162,0.322,0.40700000000000003,811
COL,NL,2007,758,90,0.354,0.43700000000000006,0.28,1,3,2,163,0.33,0.423,860
DET,AL,2007,797,88,0.345,0.45799999999999996,0.287,0,,,162,0.33799999999999997,0.42700000000000005,887
FLA,NL,2007,891,71,0.336,0.44799999999999995,0.267,0,,,162,0.364,0.442,790
HOU,NL,2007,813,73,0.33,0.41200000000000003,0.26,0,,,162,0.337,0.45399999999999996,723
KCR,AL,2007,778,69,0.322,0.38799999999999996,0.261,0,,,162,0.33899999999999997,0.445,706
LAA,AL,2007,731,94,0.345,0.41700000000000004,0.284,1,2,4,162,0.32799999999999996,0.41200000000000003,822
LAD,NL,2007,727,82,0.337,0.406,0.275,0,,,162,0.326,0.39899999999999997,735
MIL,NL,2007,776,83,0.32899999999999996,0.456,0.262,0,,,162,0.33299999999999996,0.42200000000000004,801
MIN,AL,2007,725,79,0.33,0.391,0.264,0,,,162,0.324,0.431,718
NYM,NL,2007,750,88,0.342,0.43200000000000005,0.275,0,,,162,0.32899999999999996,0.409,804
NYY,AL,2007,777,94,0.366,0.46299999999999997,0.29,1,2,4,162,0.34,0.41700000000000004,968
OAK,AL,2007,758,76,0.33799999999999997,0.40700000000000003,0.256,0,,,162,0.32899999999999996,0.40399999999999997,741
PHI,NL,2007,821,89,0.354,0.45799999999999996,0.27399999999999997,1,4,4,162,0.34600000000000003,0.451,892
PIT,NL,2007,846,68,0.325,0.41100000000000003,0.263,0,,,162,0.35200000000000004,0.447,724
SDP,NL,2007,666,89,0.322,0.41100000000000003,0.251,0,,,163,0.311,0.374,741
SEA,AL,2007,813,88,0.337,0.425,0.287,0,,,162,0.349,0.431,794
SFG,NL,2007,720,71,0.322,0.387,0.254,0,,,162,0.33399999999999996,0.405,683
STL,NL,2007,829,78,0.337,0.405,0.27399999999999997,0,,,162,0.336,0.431,725
TBD,AL,2007,944,66,0.336,0.433,0.268,0,,,162,0.358,0.467,782
TEX,AL,2007,844,75,0.32799999999999996,0.426,0.263,0,,,162,0.35600000000000004,0.423,816
TOR,AL,2007,699,83,0.327,0.419,0.259,0,,,162,0.315,0.391,753
WSN,NL,2007,783,73,0.325,0.39,0.256,0,,,162,0.33899999999999997,0.433,673
ARI,NL,2006,788,76,0.331,0.424,0.267,0,,,162,0.335,0.431,773
ATL,NL,2006,805,79,0.337,0.455,0.27,0,,,162,0.34299999999999997,0.43799999999999994,849
BAL,AL,2006,899,70,0.33899999999999997,0.424,0.27699999999999997,0,,,162,0.35700000000000004,0.462,768
BOS,AL,2006,825,86,0.35100000000000003,0.435,0.26899999999999996,0,,,162,0.34299999999999997,0.447,820
CHC,NL,2006,834,66,0.319,0.42200000000000004,0.268,0,,,162,0.342,0.431,716
CHW,AL,2006,794,90,0.342,0.46399999999999997,0.28,0,,,162,0.326,0.44,868
CIN,NL,2006,801,80,0.336,0.43200000000000005,0.257,0,,,162,0.337,0.457,749
CLE,AL,2006,782,78,0.349,0.457,0.28,0,,,162,0.335,0.431,870
COL,NL,2006,812,76,0.341,0.433,0.27,0,,,162,0.34600000000000003,0.43799999999999994,813
DET,AL,2006,675,95,0.32899999999999996,0.449,0.27399999999999997,1,3,2,162,0.321,0.405,822
FLA,NL,2006,772,78,0.331,0.435,0.264,0,,,162,0.34700000000000003,0.423,758
HOU,NL,2006,719,82,0.332,0.409,0.255,0,,,162,0.319,0.42100000000000004,735
KCR,AL,2006,971,62,0.332,0.41100000000000003,0.271,0,,,162,0.36700000000000005,0.47600000000000003,757
LAA,AL,2006,732,89,0.33399999999999996,0.425,0.27399999999999997,0,,,162,0.316,0.402,766
LAD,NL,2006,751,88,0.348,0.43200000000000005,0.276,1,5,4,162,0.33,0.418,820
MIL,NL,2006,833,75,0.327,0.42,0.258,0,,,162,0.33299999999999996,0.43799999999999994,730
MIN,AL,2006,683,96,0.34700000000000003,0.425,0.287,1,2,4,162,0.312,0.423,801
NYM,NL,2006,731,97,0.33399999999999996,0.445,0.264,1,1,3,162,0.32299999999999995,0.40700000000000003,834
NYY,AL,2006,767,97,0.363,0.461,0.285,1,1,4,162,0.326,0.413,930
OAK,AL,2006,727,93,0.34,0.41200000000000003,0.26,1,4,3,162,0.33799999999999997,0.42200000000000004,771
PHI,NL,2006,812,85,0.34700000000000003,0.447,0.267,0,,,162,0.33899999999999997,0.46,865
PIT,NL,2006,797,67,0.327,0.397,0.263,0,,,162,0.35700000000000004,0.431,691
SDP,NL,2006,679,88,0.332,0.41600000000000004,0.263,1,5,4,162,0.312,0.40399999999999997,731
SEA,AL,2006,792,78,0.325,0.424,0.272,0,,,162,0.337,0.43200000000000005,756
SFG,NL,2006,790,76,0.324,0.42200000000000004,0.259,0,,,161,0.337,0.415,746
STL,NL,2006,762,83,0.337,0.431,0.26899999999999996,1,6,1,161,0.337,0.44299999999999995,781
TBD,AL,2006,856,61,0.314,0.42,0.255,0,,,162,0.358,0.452,689
TEX,AL,2006,784,80,0.33799999999999997,0.446,0.278,0,,,162,0.341,0.424,835
TOR,AL,2006,754,87,0.348,0.46299999999999997,0.284,0,,,162,0.32799999999999996,0.42200000000000004,809
WSN,NL,2006,872,71,0.33799999999999997,0.418,0.262,0,,,162,0.349,0.447,746
ARI,NL,2005,856,77,0.332,0.42100000000000004,0.256,0,,,162,0.345,0.455,696
ATL,NL,2005,674,90,0.33299999999999996,0.435,0.265,1,4,4,162,0.33299999999999996,0.406,769
BAL,AL,2005,800,74,0.327,0.434,0.26899999999999996,0,,,162,0.336,0.41600000000000004,729
BOS,AL,2005,805,95,0.35700000000000004,0.45399999999999996,0.281,1,3,4,162,0.335,0.441,910
CHC,NL,2005,714,79,0.324,0.44,0.27,0,,,162,0.325,0.40700000000000003,703
CHW,AL,2005,645,99,0.322,0.425,0.262,1,2,1,162,0.31,0.397,741
CIN,NL,2005,889,73,0.33899999999999997,0.446,0.261,0,,,163,0.35200000000000004,0.483,820
CLE,AL,2005,642,93,0.33399999999999996,0.45299999999999996,0.271,0,,,162,0.302,0.387,790
COL,NL,2005,862,67,0.33299999999999996,0.41100000000000003,0.267,0,,,162,0.36200000000000004,0.457,740
DET,AL,2005,787,71,0.321,0.428,0.272,0,,,162,0.33,0.436,723
FLA,NL,2005,732,83,0.33899999999999997,0.409,0.272,0,,,162,0.33899999999999997,0.402,717
HOU,NL,2005,609,89,0.322,0.408,0.256,1,5,2,163,0.308,0.389,693
KCR,AL,2005,935,56,0.32,0.396,0.263,0,,,162,0.36200000000000004,0.46299999999999997,701
LAA,AL,2005,643,95,0.325,0.409,0.27,1,3,3,162,0.312,0.401,761
LAD,NL,2005,755,71,0.326,0.395,0.253,0,,,162,0.327,0.429,685
MIL,NL,2005,697,81,0.331,0.423,0.259,0,,,162,0.324,0.408,726
MIN,AL,2005,662,83,0.32299999999999995,0.391,0.259,0,,,162,0.307,0.408,688
NYM,NL,2005,648,83,0.322,0.41600000000000004,0.258,0,,,162,0.321,0.387,722
NYY,AL,2005,789,95,0.355,0.45,0.276,1,3,4,162,0.332,0.42200000000000004,886
OAK,AL,2005,658,88,0.33,0.40700000000000003,0.262,0,,,162,0.311,0.382,772
PHI,NL,2005,726,88,0.348,0.423,0.27,0,,,162,0.32,0.426,807
PIT,NL,2005,769,67,0.322,0.4,0.259,0,,,162,0.344,0.424,680
SDP,NL,2005,726,82,0.33299999999999996,0.391,0.257,1,6,4,162,0.322,0.408,684
SEA,AL,2005,751,69,0.317,0.391,0.256,0,,,162,0.332,0.42200000000000004,699
SFG,NL,2005,745,75,0.319,0.396,0.261,0,,,162,0.336,0.41200000000000003,649
STL,NL,2005,634,100,0.33899999999999997,0.423,0.27,1,1,3,162,0.318,0.39799999999999996,805
TBD,AL,2005,936,67,0.32899999999999996,0.425,0.27399999999999997,0,,,162,0.355,0.455,750
TEX,AL,2005,858,79,0.32899999999999996,0.46799999999999997,0.267,0,,,162,0.34299999999999997,0.428,865
TOR,AL,2005,705,80,0.331,0.40700000000000003,0.265,0,,,162,0.324,0.418,775
WSN,NL,2005,673,81,0.322,0.386,0.252,0,,,162,0.33299999999999996,0.396,639
ANA,AL,2004,734,92,0.341,0.429,0.282,1,6,4,162,0.326,0.415,836
ARI,NL,2004,899,51,0.31,0.39299999999999996,0.253,0,,,162,0.35,0.439,615
ATL,NL,2004,668,96,0.34299999999999997,0.434,0.27,1,4,4,162,0.32899999999999996,0.4,803
BAL,AL,2004,830,78,0.345,0.43200000000000005,0.281,0,,,162,0.348,0.40399999999999997,842
BOS,AL,2004,768,98,0.36,0.47200000000000003,0.282,1,3,1,162,0.318,0.408,949
CHC,NL,2004,665,89,0.32799999999999996,0.45799999999999996,0.268,0,,,162,0.321,0.395,789
CHW,AL,2004,831,83,0.33299999999999996,0.457,0.268,0,,,162,0.33799999999999997,0.45299999999999996,865
CIN,NL,2004,907,76,0.331,0.418,0.25,0,,,162,0.348,0.48100000000000004,750
