exp_id,seed,dataset,is_task_reg,train_size,test_size,train_dim,encoder,time_encoder,model,time_model,Accuracy,F1,AUC,Precision,Recall,CrossEntropy,ZeroOneLoss,HingeLoss,MSE,RMSE,MAE,MAPE,R2,Accuracy_train,F1_train,AUC_train,Precision_train,Recall_train,CrossEntropy_train,ZeroOneLoss_train,HingeLoss_train,MSE_train,RMSE_train,MAE_train,MAPE_train,R2_train
0-CPS1988-GLMMEncoder-MLPRegressor,0,CPS1988,True,22524,5631,4,GLMMEncoder,1.4375,MLPRegressor,5.6875,,,,,,,,,0.8566053952437584,0.9255297916565185,0.5384907198619101,2.078597681156039,0.24132255546800474,,,,,,,,,0.7327465980388339,0.8560061904208601,0.5219243080681498,1.98756242484752,0.2672534019611661
0-CPS1988-GLMMEncoder-RandomForestRegressor,0,CPS1988,True,22524,5631,4,GLMMEncoder,1.4375,RandomForestRegressor,2.109375,,,,,,,,,0.9440484540820246,0.9716215590866768,0.5721261628660106,2.4231808903592653,0.1638760710192365,,,,,,,,,0.6141521367573907,0.7836785927645279,0.4743899411233836,2.0560826365221034,0.38584786324260933
0-CPS1988-GLMMEncoder-RidgeCV,0,CPS1988,True,22524,5631,4,GLMMEncoder,1.4375,RidgeCV,0.0,,,,,,,,,0.9264535863567693,0.9625245900010915,0.5807323541909813,1.821645036912106,0.17945947658356476,,,,,,,,,0.8107446655164127,0.9004136080248969,0.5678576374279394,1.9230193039277663,0.18925533448358733
0-CPS1988-GLMMEncoder-DecisionTreeRegressor,0,CPS1988,True,22524,5631,4,GLMMEncoder,1.4375,DecisionTreeRegressor,0.015625,,,,,,,,,0.8797975151182424,0.9379752209510881,0.5450495289187682,2.1024609510527617,0.2207817809908066,,,,,,,,,0.7046634739041157,0.8394423588931617,0.5145786192060272,2.0195474962801985,0.29533652609588434
0-CPS1988-GLMMEncoder-XGBRegressor,0,CPS1988,True,22524,5631,4,GLMMEncoder,1.4375,XGBRegressor,0.953125,,,,,,,,,0.8804028818521009,0.9382978641412869,0.5463686771549321,2.2817489621405076,0.22024562036282258,,,,,,,,,0.6614512737700883,0.8132965472508096,0.4979825751385911,1.955247117267565,0.3385487262299117
0-CPS1988-GLMMEncoder-LGBMRegressor,0,CPS1988,True,22524,5631,4,GLMMEncoder,1.4375,LGBMRegressor,1.046875,,,,,,,,,0.8657402922222102,0.9304516603361027,0.5393971163712058,2.137623108958132,0.23323196867721918,,,,,,,,,0.6979455029214627,0.8354313274719011,0.5110897908121281,1.97108829729346,0.30205449707853727
0-CPS1988-GLMMEncoder-LinearSVR,0,CPS1988,True,22524,5631,4,GLMMEncoder,1.4375,LinearSVR,0.640625,,,,,,,,,0.9434364868264362,0.9713065874513753,0.5737990099409013,1.7762196392502168,0.16441807759097304,,,,,,,,,0.824688631572062,0.9081236873752727,0.5593344116535468,1.9008294251960047,0.17531136842793804
0-Socmob-GLMMEncoder-MLPRegressor,0,Socmob,True,924,232,5,GLMMEncoder,3.296875,MLPRegressor,0.75,,,,,,,,,0.4794285040290048,0.6924077584985633,0.17804302012481257,0.5447667356333856,0.693964940821191,,,,,,,,,0.08900105509737022,0.2983304461454952,0.1403885787208921,0.606805202014552,0.9109989449026298
0-Socmob-GLMMEncoder-RandomForestRegressor,0,Socmob,True,924,232,5,GLMMEncoder,3.296875,RandomForestRegressor,0.328125,,,,,,,,,0.3896474669494646,0.6242174836941565,0.1730518988775856,0.618947659487667,0.7512751440420442,,,,,,,,,0.017714005082573116,0.13309397087236188,0.055210781696917885,0.264489625526166,0.9822859949174269
0-Socmob-GLMMEncoder-RidgeCV,0,Socmob,True,924,232,5,GLMMEncoder,3.296875,RidgeCV,0.0,,,,,,,,,0.44211769046862204,0.6649193112465768,0.32494882419070725,1.1614046529854476,0.717781666234894,,,,,,,,,0.34309979104658184,0.5857472074594824,0.3301556926378883,1.2816931218003236,0.6569002089534182
