exp_id,seed,dataset,is_task_reg,train_size,test_size,train_dim,encoder,time_encoder,model,time_model,Accuracy,F1,AUC,Precision,Recall,CrossEntropy,ZeroOneLoss,HingeLoss,MSE,RMSE,MAE,MAPE,R2,Accuracy_train,F1_train,AUC_train,Precision_train,Recall_train,CrossEntropy_train,ZeroOneLoss_train,HingeLoss_train,MSE_train,RMSE_train,MAE_train,MAPE_train,R2_train
0-CPS1988-DeleteEncoder-MLPRegressor,0,CPS1988,True,22524,5631,2,DeleteEncoder,0.078125,MLPRegressor,1.03125,,,,,,,,,0.8706005310469521,0.933059768207242,0.551812144090663,2.050993470725857,0.22892735701840383,,,,,,,,,0.7584466494515468,0.8708884253746555,0.5391129074061326,2.1314146521145205,0.24155335054845317
0-CPS1988-DeleteEncoder-RandomForestRegressor,0,CPS1988,True,22524,5631,2,DeleteEncoder,0.078125,RandomForestRegressor,0.96875,,,,,,,,,0.8829219159796268,0.9396392477858866,0.5489511221273637,2.224702363676585,0.21801456463381164,,,,,,,,,0.7273789344538957,0.8528651326287736,0.5240642162110913,2.0911656959318106,0.2726210655461043
0-CPS1988-DeleteEncoder-RidgeCV,0,CPS1988,True,22524,5631,2,DeleteEncoder,0.078125,RidgeCV,0.015625,,,,,,,,,0.9345211603501239,0.9667063464931447,0.5866938794870137,1.7835077094268046,0.1723141953901054,,,,,,,,,0.8219280760583562,0.9066024906530734,0.5748648087615001,1.9207397754627318,0.17807192394164384
0-CPS1988-DeleteEncoder-DecisionTreeRegressor,0,CPS1988,True,22524,5631,2,DeleteEncoder,0.078125,DecisionTreeRegressor,0.015625,,,,,,,,,0.8785367495038785,0.93730291235218,0.5464797151463552,2.233478415435217,0.22189841467041027,,,,,,,,,0.7412935208312333,0.8609840421466785,0.5289920774269128,2.0916743114270906,0.25870647916876666
0-CPS1988-DeleteEncoder-XGBRegressor,0,CPS1988,True,22524,5631,2,DeleteEncoder,0.078125,XGBRegressor,0.875,,,,,,,,,0.8769485240973179,0.9364552974367318,0.546584587840896,2.2400369235035367,0.22330507262456345,,,,,,,,,0.7277128689592094,0.8530608823285765,0.5239413353752045,2.0899742910094847,0.2722871310407906
0-CPS1988-DeleteEncoder-LGBMRegressor,0,CPS1988,True,22524,5631,2,DeleteEncoder,0.078125,LGBMRegressor,1.03125,,,,,,,,,0.8721936717622267,0.9339130964721647,0.5440457269794096,2.179071148415637,0.2275163456783451,,,,,,,,,0.7381875087821658,0.859178391710456,0.5277659023665937,2.1172496949859445,0.26181249121783423
0-CPS1988-DeleteEncoder-LinearSVR,0,CPS1988,True,22524,5631,2,DeleteEncoder,0.078125,LinearSVR,0.703125,,,,,,,,,0.9529695590443681,0.9762015975424175,0.5797236999457999,1.7740640625395698,0.15597483533614065,,,,,,,,,0.8366681906372715,0.9146956819824129,0.565663350521582,1.8856109481009002,0.1633318093627285
0-Socmob-DeleteEncoder-MLPRegressor,0,Socmob,True,924,232,1,DeleteEncoder,0.03125,MLPRegressor,0.765625,,,,,,,,,0.48142026955238443,0.6938445571973484,0.22167663910134675,0.8294951731450542,0.6926935310599955,,,,,,,,,0.3152267723354539,0.5614505965224846,0.24619912801421218,1.240829542431434,0.6847732276645462
0-Socmob-DeleteEncoder-RandomForestRegressor,0,Socmob,True,924,232,1,DeleteEncoder,0.03125,RandomForestRegressor,0.1875,,,,,,,,,0.4022723061471315,0.6342494037420386,0.2450243804427983,1.3621367321302504,0.7432162919326852,,,,,,,,,0.07891976975687735,0.2809266269987189,0.1383326377107292,0.7559684763109731,0.9210802302431227
0-Socmob-DeleteEncoder-RidgeCV,0,Socmob,True,924,232,1,DeleteEncoder,0.03125,RidgeCV,0.0,,,,,,,,,0.38649542716944113,0.6216875639494819,0.27533949115346723,0.7449446480818434,0.7532871952081865,,,,,,,,,0.4587104445468665,0.6772816582093941,0.3173310477174573,0.8855018731578356,0.5412895554531336
