exp_id,seed,dataset,is_task_reg,train_size,test_size,train_dim,encoder,time_encoder,model,time_model,Accuracy,F1,AUC,Precision,Recall,CrossEntropy,ZeroOneLoss,HingeLoss,MSE,RMSE,MAE,MAPE,R2,Accuracy_train,F1_train,AUC_train,Precision_train,Recall_train,CrossEntropy_train,ZeroOneLoss_train,HingeLoss_train,MSE_train,RMSE_train,MAE_train,MAPE_train,R2_train
4-UkAir-OneHotEncoder-MLPRegressor,4,UkAir,True,315439,78860,108,OneHotEncoder,6.84375,MLPRegressor,486.890625,,,,,,,,,0.6944978437326266,0.8333653722903458,0.5456247926419404,3.1458096317569257,0.25483273730667544,,,,,,,,,0.7297370391805803,0.8542464744911624,0.5418050228924608,2.876848175851195,0.2702629608194197
4-UkAir-OneHotEncoder-RandomForestRegressor,4,UkAir,True,315439,78860,108,OneHotEncoder,6.84375,RandomForestRegressor,369.75,,,,,,,,,1.0961771365843744,1.0469847833585617,0.6728601985740787,3.636809195115343,-0.17615241525509595,,,,,,,,,0.6057048929462248,0.7782704497449616,0.48720706424941806,2.513582767471865,0.39429510705377524
4-UkAir-OneHotEncoder-RidgeCV,4,UkAir,True,315439,78860,108,OneHotEncoder,6.84375,RidgeCV,23.765625,,,,,,,,,0.780634547533655,0.8835352553993842,0.5757685764241914,2.4113862995844273,0.16241164144860243,,,,,,,,,0.8464497673663347,0.920027047084125,0.5813026680764268,2.348723831251948,0.1535502326336653
4-UkAir-OneHotEncoder-DecisionTreeRegressor,4,UkAir,True,315439,78860,108,OneHotEncoder,6.84375,DecisionTreeRegressor,2.34375,,,,,,,,,0.7681165351786589,0.876422577971756,0.5742295450461808,2.497402639288654,0.17584294737001416,,,,,,,,,0.8245304304715075,0.9080365799192825,0.5769017104773311,2.317204107054047,0.17546956952849246
4-UkAir-OneHotEncoder-XGBRegressor,4,UkAir,True,315439,78860,108,OneHotEncoder,6.84375,XGBRegressor,20.140625,,,,,,,,,0.6993699016313886,0.8362833859592026,0.5423791945112266,2.814920983803359,0.24960522208705782,,,,,,,,,0.7247907045874697,0.8513464069269746,0.539834324071585,2.5896243522474434,0.27520929541253025
4-UkAir-OneHotEncoder-LGBMRegressor,4,UkAir,True,315439,78860,108,OneHotEncoder,6.84375,LGBMRegressor,9.140625,,,,,,,,,0.713420764782225,0.8446423886960831,0.5496160079289109,2.7362472924343533,0.23452923110008184,,,,,,,,,0.765522720966922,0.8749415528862039,0.5533936591365685,2.4159923899857088,0.23447727903307802
4-UkAir-OneHotEncoder-LinearSVR,4,UkAir,True,315439,78860,108,OneHotEncoder,6.84375,LinearSVR,156.0,,,,,,,,,0.8643768708323789,0.9297187052180778,0.539529945464238,2.866717993122801,0.07255961615115081,,,,,,,,,0.9336983551274823,0.9662806813382343,0.543993915797111,2.2188653716680973,0.06630164487251766
4-UkAir-OrdinalEncoder-MLPRegressor,4,UkAir,True,315439,78860,7,OrdinalEncoder,2.65625,MLPRegressor,88.234375,,,,,,,,,0.7632570660867044,0.8736458470608697,0.5700794768037808,2.556974519990897,0.18105695532421107,,,,,,,,,0.8254947826896439,0.9085674343105435,0.5738909094226794,2.5190702535613734,0.17450521731035606
4-UkAir-OrdinalEncoder-RandomForestRegressor,4,UkAir,True,315439,78860,7,OrdinalEncoder,2.65625,RandomForestRegressor,72.484375,,,,,,,,,1.096764611740745,1.0472653015070943,0.6729951909053516,3.6417538333524617,-0.1767827516314051,,,,,,,,,0.6057145008794043,0.7782766223390012,0.4872793458180943,2.5151244474034837,0.39428549912059574
4-UkAir-OrdinalEncoder-RidgeCV,4,UkAir,True,315439,78860,7,OrdinalEncoder,2.65625,RidgeCV,0.140625,,,,,,,,,0.9074104965462015,0.9525809658743983,0.6318800824494948,1.6260264087946497,0.026386327974199042,,,,,,,,,0.9750548819511194,0.9874486730717296,0.6356738078375743,1.5829007667644963,0.024945118048880555
4-UkAir-OrdinalEncoder-DecisionTreeRegressor,4,UkAir,True,315439,78860,7,OrdinalEncoder,2.65625,DecisionTreeRegressor,0.515625,,,,,,,,,0.773291816646194,0.8793701249452326,0.5741704819930198,2.6709464965011525,0.17029008588940264,,,,,,,,,0.8172105607477353,0.903996991559007,0.574943357545404,2.3361327310241884,0.18278943925226465
4-UkAir-OrdinalEncoder-XGBRegressor,4,UkAir,True,315439,78860,7,OrdinalEncoder,2.65625,XGBRegressor,7.015625,,,,,,,,,0.6958703540362694,0.8341884403636084,0.5433347447666071,2.845016293171121,0.2533600909115663,,,,,,,,,0.7375839709337082,0.8588270902420977,0.5426965920940605,2.60773280997479,0.2624160290662918
4-UkAir-OrdinalEncoder-LGBMRegressor,4,UkAir,True,315439,78860,7,OrdinalEncoder,2.65625,LGBMRegressor,4.59375,,,,,,,,,0.7175537222471174,0.8470854279511113,0.550964719328617,2.630061693199036,0.23009473986481832,,,,,,,,,0.7702137286900786,0.8776182135131875,0.5548097021711093,2.3883354195236906,0.22978627130992135
4-UkAir-OrdinalEncoder-LinearSVR,4,UkAir,True,315439,78860,7,OrdinalEncoder,2.65625,LinearSVR,18.3125,,,,,,,,,0.9827224775388949,0.9913235988005606,0.582538996520817,2.841139272068073,-0.054420291125892195,,,,,,,,,1.053756433893726,1.0265263922051522,0.5862896955550961,2.2176996217656564,-0.053756433893725974
4-UkAir-CountEncoder-MLPRegressor,4,UkAir,True,315439,78860,7,CountEncoder,3.453125,MLPRegressor,264.09375,,,,,,,,,0.7762905168765915,0.881073502539142,0.5602635315728952,3.0277178316998743,0.16707260542853697,,,,,,,,,0.8393548301614918,0.9161631023794244,0.5641684467913428,2.5309327913481274,0.16064516983850818
4-UkAir-CountEncoder-RandomForestRegressor,4,UkAir,True,315439,78860,7,CountEncoder,3.453125,RandomForestRegressor,78.421875,,,,,,,,,1.0979523404264502,1.0478322100539046,0.6734942498854208,3.640441730581633,-0.17805713504603515,,,,,,,,,0.6057127934616363,0.7782755254160549,0.4873026735594642,2.5136147258314514,0.3942872065383637
4-UkAir-CountEncoder-RidgeCV,4,UkAir,True,315439,78860,7,CountEncoder,3.453125,RidgeCV,0.140625,,,,,,,,,0.9110126881302736,0.9544698466322934,0.6321816140330627,1.62926215121601,0.02252132642434057,,,,,,,,,0.9797406191521769,0.9898184778797459,0.6363977939558453,1.5008167817415077,0.020259380847823083
4-UkAir-CountEncoder-DecisionTreeRegressor,4,UkAir,True,315439,78860,7,CountEncoder,3.453125,DecisionTreeRegressor,0.5,,,,,,,,,0.763252582709339,0.8736432811561816,0.567504117063862,2.658662982242838,0.18106176580140576,,,,,,,,,0.8150639827754136,0.9028089403497362,0.5680550324531926,2.332941990866443,0.1849360172245864
4-UkAir-CountEncoder-XGBRegressor,4,UkAir,True,315439,78860,7,CountEncoder,3.453125,XGBRegressor,6.765625,,,,,,,,,0.6947282939964865,0.8335036256648717,0.5436147929978972,2.7885975073093427,0.254585473771076,,,,,,,,,0.7374348205526661,0.8587402520859646,0.5424804297700752,2.6389361389721677,0.26256517944733393
4-UkAir-CountEncoder-LGBMRegressor,4,UkAir,True,315439,78860,7,CountEncoder,3.453125,LGBMRegressor,4.40625,,,,,,,,,0.7137155073038474,0.8448168483783023,0.5504471129059576,2.612128864604951,0.23421298464947204,,,,,,,,,0.7665760447316676,0.8755432854700376,0.5541411457482741,2.4169861685449905,0.23342395526833237
4-UkAir-CountEncoder-LinearSVR,4,UkAir,True,315439,78860,7,CountEncoder,3.453125,LinearSVR,18.203125,,,,,,,,,0.9853361185329895,0.9926409816912606,0.5815915530884368,2.446373707868115,-0.0572246190627006,,,,,,,,,1.057213131011877,1.0282087001245792,0.5853760630171292,2.114555016446053,-0.05721313101187708
4-UkAir-BaseNEncoder-MLPRegressor,4,UkAir,True,315439,78860,23,BaseNEncoder,3.5,MLPRegressor,201.21875,,,,,,,,,0.7048880645466499,0.8395761219488379,0.5507267749242034,2.5789835046814797,0.24368446309296066,,,,,,,,,0.7559166064767524,0.8694346476169169,0.551896286959217,2.752993228273867,0.2440833935232476
4-UkAir-BaseNEncoder-RandomForestRegressor,4,UkAir,True,315439,78860,23,BaseNEncoder,3.5,RandomForestRegressor,94.59375,,,,,,,,,1.0967668418133132,1.0472663662188877,0.673199797818282,3.6359063784552084,-0.17678514440639526,,,,,,,,,0.6058056182504978,0.7783351580460038,0.4873510932553015,2.512346800024674,0.39419438174950217
4-UkAir-BaseNEncoder-RidgeCV,4,UkAir,True,315439,78860,23,BaseNEncoder,3.5,RidgeCV,0.90625,,,,,,,,,0.8692826461015,0.9323532839549072,0.6136765108750432,2.204508753242054,0.06729592359735959,,,,,,,,,0.9379908254058014,0.9684992645354984,0.6186978423328313,1.892091739999492,0.062009174594198635
4-UkAir-BaseNEncoder-DecisionTreeRegressor,4,UkAir,True,315439,78860,23,BaseNEncoder,3.5,DecisionTreeRegressor,0.875,,,,,,,,,0.7393177658047406,0.8598358946942961,0.5581385981004267,2.972629611771419,0.20674282753085282,,,,,,,,,0.7909053755318113,0.8893286094193817,0.5585709396416023,2.4260890229208445,0.20909462446818872
4-UkAir-BaseNEncoder-XGBRegressor,4,UkAir,True,315439,78860,23,BaseNEncoder,3.5,XGBRegressor,11.375,,,,,,,,,0.7030575712170456,0.8384852838404772,0.5467697079319762,2.6338028739330213,0.24564850620138645,,,,,,,,,0.7519609928036469,0.8671568444080038,0.5475733272979771,2.6127043168038977,0.24803900719635308
4-UkAir-BaseNEncoder-LGBMRegressor,4,UkAir,True,315439,78860,23,BaseNEncoder,3.5,LGBMRegressor,9.65625,,,,,,,,,0.7260059964854205,0.8520598549899066,0.5550110050186572,2.6922624465444764,0.22102580161752494,,,,,,,,,0.7823251803128294,0.8844914811985638,0.5586723740560298,2.332278880876456,0.21767481968717062
4-UkAir-BaseNEncoder-LinearSVR,4,UkAir,True,315439,78860,23,BaseNEncoder,3.5,LinearSVR,37.484375,,,,,,,,,0.9453266117466752,0.9722790812038873,0.5664912710960457,2.695511467217519,-0.014296084550006194,,,,,,,,,1.01640395498295,1.008168614361184,0.5706999971364939,2.000650909825861,-0.016403954982949998
4-UkAir-BackwardDifferenceEncoder-MLPRegressor,4,UkAir,True,315439,78860,104,BackwardDifferenceEncoder,5.859375,MLPRegressor,1710.5,,,,,,,,,0.6977232610934363,0.8352983066506457,0.5589893259362403,2.9445480084719438,0.2513719988069264,,,,,,,,,0.7381468746088484,0.8591547442741898,0.5569030410040874,2.784965438070489,0.2618531253911516
4-UkAir-BackwardDifferenceEncoder-RandomForestRegressor,4,UkAir,True,315439,78860,104,BackwardDifferenceEncoder,5.859375,RandomForestRegressor,313.875,,,,,,,,,1.0967772535138898,1.0472713371012738,0.6730097273323657,3.643232097594652,-0.17679631572749965,,,,,,,,,0.6057123399544676,0.7782752340621328,0.4872750864381884,2.5151785666251745,0.3942876600455324
