exp_id,seed,dataset,is_task_reg,train_size,test_size,train_dim,encoder,time_encoder,model,time_model,Accuracy,F1,AUC,Precision,Recall,CrossEntropy,ZeroOneLoss,HingeLoss,MSE,RMSE,MAE,MAPE,R2,Accuracy_train,F1_train,AUC_train,Precision_train,Recall_train,CrossEntropy_train,ZeroOneLoss_train,HingeLoss_train,MSE_train,RMSE_train,MAE_train,MAPE_train,R2_train
0-BikeSharing-OneHotEncoder-MLPRegressor,0,BikeSharing,True,13903,3476,53,OneHotEncoder,0.328125,MLPRegressor,20.484375,,,,,,,,,0.07257537172547421,0.26939816577971387,0.17938644131895715,0.9575207070458119,0.9287015942213059,,,,,,,,,0.035818460343257516,0.1892576559699964,0.12796866282917496,0.7148177157160452,0.9641815396567425
0-BikeSharing-OneHotEncoder-RandomForestRegressor,0,BikeSharing,True,13903,3476,53,OneHotEncoder,0.328125,RandomForestRegressor,10.859375,,,,,,,,,0.0801877829454025,0.28317447438885185,0.17386597027162484,1.0795424718724855,0.9212231236160741,,,,,,,,,0.010609027063118615,0.10300013137427842,0.06365830597815082,0.3504513455757161,0.9893909729368814
0-BikeSharing-OneHotEncoder-RidgeCV,0,BikeSharing,True,13903,3476,53,OneHotEncoder,0.328125,RidgeCV,0.09375,,,,,,,,,0.31926187254289334,0.5650326296267264,0.42004872143492816,2.3832382738351865,0.6863555501398958,,,,,,,,,0.3143208167773935,0.5606432170082801,0.41501836541829296,2.0074528053105807,0.6856791832226066
0-BikeSharing-OneHotEncoder-DecisionTreeRegressor,0,BikeSharing,True,13903,3476,53,OneHotEncoder,0.328125,DecisionTreeRegressor,0.0625,,,,,,,,,0.2911589764264815,0.5395914903206698,0.38468867412894586,2.341033448153548,0.7139639749157777,,,,,,,,,0.25485087656743266,0.5048275711244709,0.3619138059758374,1.7866207301787633,0.7451491234325673
0-BikeSharing-OneHotEncoder-XGBRegressor,0,BikeSharing,True,13903,3476,53,OneHotEncoder,0.328125,XGBRegressor,1.390625,,,,,,,,,0.07102909399849994,0.2665128402131874,0.16989316577622515,0.9931205961425633,0.9302206651430698,,,,,,,,,0.02732161464052215,0.16529251235468034,0.11455074647434287,0.6170458837653029,0.9726783853594778
0-BikeSharing-OneHotEncoder-LGBMRegressor,0,BikeSharing,True,13903,3476,53,OneHotEncoder,0.328125,LGBMRegressor,1.34375,,,,,,,,,0.070245306919558,0.26503831217308566,0.17551198156298184,1.1537096799012103,0.9309906614637208,,,,,,,,,0.05480094787126077,0.23409602275831337,0.1587267402578069,0.8358680535599682,0.9451990521287392
0-BikeSharing-OneHotEncoder-LinearSVR,0,BikeSharing,True,13903,3476,53,OneHotEncoder,0.328125,LinearSVR,3.0625,,,,,,,,,0.3470942491102813,0.5891470521951895,0.40423386463050837,2.0735683737545916,0.6590128851130694,,,,,,,,,0.340863060994549,0.5838347891266407,0.3969370442004569,1.523584752182294,0.659136939005451
0-BikeSharing-OrdinalEncoder-MLPRegressor,0,BikeSharing,True,13903,3476,11,OrdinalEncoder,0.21875,MLPRegressor,11.0625,,,,,,,,,0.42054740718152106,0.6484962661276633,0.4879515591410745,2.7365113346749292,0.5868521376669552,,,,,,,,,0.3492116767525807,0.5909413479801364,0.44812439292848116,2.481696275100453,0.6507883232474193
0-BikeSharing-OrdinalEncoder-RandomForestRegressor,0,BikeSharing,True,13903,3476,11,OrdinalEncoder,0.21875,RandomForestRegressor,6.015625,,,,,,,,,0.09018454476007087,0.30030741709133807,0.18334315379777055,1.1085776363377375,0.9114022551397643,,,,,,,,,0.011995517693368362,0.10952405075310337,0.06674039500939433,0.3779887102184152,0.9880044823066316
0-BikeSharing-OrdinalEncoder-RidgeCV,0,BikeSharing,True,13903,3476,11,OrdinalEncoder,0.21875,RidgeCV,0.0,,,,,,,,,0.6392122609063893,0.7995075114759018,0.6040789824902958,2.7667494806487616,0.3720346989166947,,,,,,,,,0.6501964224252765,0.8063475816453327,0.6176629717052555,2.443386824262935,0.34980357757472347
0-BikeSharing-OrdinalEncoder-DecisionTreeRegressor,0,BikeSharing,True,13903,3476,11,OrdinalEncoder,0.21875,DecisionTreeRegressor,0.03125,,,,,,,,,0.1849209587917389,0.43002436999749083,0.27079758510696245,1.7188983108632245,0.8183327312908446,,,,,,,,,0.14856771672553123,0.3854448296780374,0.24049155946951856,1.3348355811568442,0.8514322832744687
0-BikeSharing-OrdinalEncoder-XGBRegressor,0,BikeSharing,True,13903,3476,11,OrdinalEncoder,0.21875,XGBRegressor,0.96875,,,,,,,,,0.07342379067879705,0.270968246624576,0.17805855922695168,1.0850958101779264,0.9278681032261352,,,,,,,,,0.03188763280183891,0.17857108613053488,0.12106763893572445,0.6859467041390936,0.9681123671981611
0-BikeSharing-OrdinalEncoder-LGBMRegressor,0,BikeSharing,True,13903,3476,11,OrdinalEncoder,0.21875,LGBMRegressor,1.0625,,,,,,,,,0.07619968744007986,0.2760429086937027,0.1849602322917053,1.1354977627750393,0.9251410484556223,,,,,,,,,0.05778200656434211,0.24037888127774892,0.16506472007423048,0.8753363787532108,0.9422179934356579
0-BikeSharing-OrdinalEncoder-LinearSVR,0,BikeSharing,True,13903,3476,11,OrdinalEncoder,0.21875,LinearSVR,0.640625,,,,,,,,,0.6984074287625117,0.8357077412364395,0.5867196519992554,2.2507143759961474,0.3138810718996896,,,,,,,,,0.6993217629827019,0.836254604162334,0.5944992489647553,1.925352195044688,0.3006782370172981
0-BikeSharing-CountEncoder-MLPRegressor,0,BikeSharing,True,13903,3476,11,CountEncoder,0.25,MLPRegressor,10.8125,,,,,,,,,0.49366979425660945,0.7026163919640713,0.5119753826500358,2.5068231901111195,0.5150163412909178,,,,,,,,,0.44278771100615627,0.665422956476673,0.4892383552736807,2.268519233654038,0.5572122889938438
